h   r   t   tau
Citizen (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Ministry (Nigeria)	2014-10-23
Government (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Citizen (Nigeria)	2014-05-21
Citizen (Thailand)	Appeal for diplomatic cooperation (such as policy support)	Thailand	2014-01-23
Government (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Citizen (Nigeria)	2014-05-18
Government (Kenya)	Appeal for diplomatic cooperation (such as policy support)	Citizen (Kenya)	2014-12-08
Citizen (Thailand)	Appeal for diplomatic cooperation (such as policy support)	Thailand	2014-01-13
Victor Ponta	Appeal for diplomatic cooperation (such as policy support)	Klaus Johannis	2014-11-16
Government (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Citizen (Nigeria)	2014-06-26
Government (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Citizen (Nigeria)	2014-09-01
Government (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Citizen (Nigeria)	2014-11-24
Citizen (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Ministry (Nigeria)	2014-04-07
Government (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Citizen (Nigeria)	2014-04-23
Ministry (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Citizen (Nigeria)	2014-08-28
Ministry (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Citizen (Nigeria)	2014-06-13
Citizen (Thailand)	Appeal for diplomatic cooperation (such as policy support)	Thailand	2014-06-05
Ministry (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Citizen (Nigeria)	2014-08-12
Iraq	Appeal for diplomatic cooperation (such as policy support)	Haider Al-Abadi	2014-10-20
Citizen (India)	Appeal for diplomatic cooperation (such as policy support)	Member of Parliament (India)	2014-10-06
Citizen (Kenya)	Appeal for diplomatic cooperation (such as policy support)	Governor (Kenya)	2014-08-22
Citizen (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Ministry (Nigeria)	2014-04-22
Citizen (Thailand)	Appeal for diplomatic cooperation (such as policy support)	Thailand	2014-01-28
Citizen (Zambia)	Appeal for diplomatic cooperation (such as policy support)	Michael Sata	2014-03-24
Citizen (Kenya)	Appeal for diplomatic cooperation (such as policy support)	Governor (Kenya)	2014-01-28
Ministry (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Citizen (Nigeria)	2014-11-13
China	Appeal for diplomatic cooperation (such as policy support)	Xi Jinping	2014-07-08
Japan	Appeal for diplomatic cooperation (such as policy support)	Barack Obama	2014-04-21
Victor Ponta	Appeal for diplomatic cooperation (such as policy support)	Klaus Johannis	2014-11-05
Citizen (Thailand)	Appeal for diplomatic cooperation (such as policy support)	Thailand	2014-01-24
Ministry (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Citizen (Nigeria)	2014-10-20
Ministry (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Citizen (Nigeria)	2014-02-07
Government (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Citizen (Nigeria)	2014-09-01
Citizen (Kenya)	Appeal for diplomatic cooperation (such as policy support)	Governor (Kenya)	2014-03-17
Ministry (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Citizen (Nigeria)	2014-10-03
Ministry (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Citizen (Nigeria)	2014-04-22
Ministry (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Citizen (Nigeria)	2014-09-22
Ministry (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Citizen (Nigeria)	2014-08-19
Government (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Citizen (Nigeria)	2014-03-11
Government (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Citizen (Nigeria)	2014-07-18
Citizen (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Ministry (Nigeria)	2014-12-29
Government (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Citizen (Nigeria)	2014-06-17
Julie Bishop	Appeal for diplomatic cooperation (such as policy support)	Citizen (Australia)	2014-06-26
Citizen (Kenya)	Appeal for diplomatic cooperation (such as policy support)	Uhuru Muigai Kenyatta	2014-07-07
China	Appeal for diplomatic cooperation (such as policy support)	Xi Jinping	2014-06-28
Government (Kenya)	Appeal for diplomatic cooperation (such as policy support)	Citizen (Kenya)	2014-02-28
Citizen (India)	Appeal for diplomatic cooperation (such as policy support)	Amit Shah	2014-12-29
Head of Government (Afghanistan)	Appeal for diplomatic cooperation (such as policy support)	Afghanistan	2014-11-14
Government (Kenya)	Appeal for diplomatic cooperation (such as policy support)	Citizen (Kenya)	2014-10-28
Government (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Citizen (Nigeria)	2014-05-26
Victor Ponta	Appeal for diplomatic cooperation (such as policy support)	Klaus Johannis	2014-05-26
Iraq	Appeal for diplomatic cooperation (such as policy support)	Haider Al-Abadi	2014-08-15
Victor Ponta	Appeal for diplomatic cooperation (such as policy support)	Klaus Johannis	2014-12-29
China	Appeal for diplomatic cooperation (such as policy support)	Xi Jinping	2014-11-23
Citizen (India)	Appeal for diplomatic cooperation (such as policy support)	Member of Parliament (India)	2014-11-18
Ashraf Ghani Ahmadzai	Appeal for diplomatic cooperation (such as policy support)	Barack Obama	2014-07-26
Citizen (Kenya)	Appeal for diplomatic cooperation (such as policy support)	Governor (Kenya)	2014-09-18
Japan	Appeal for diplomatic cooperation (such as policy support)	Barack Obama	2014-04-17
Japan	Appeal for diplomatic cooperation (such as policy support)	Barack Obama	2014-04-19
Japan	Appeal for diplomatic cooperation (such as policy support)	Barack Obama	2014-04-27
South Korea	Appeal for diplomatic cooperation (such as policy support)	Foreign Affairs (United States)	2014-02-10
China	Appeal for diplomatic cooperation (such as policy support)	Xi Jinping	2014-03-28
Japan	Appeal for diplomatic cooperation (such as policy support)	Barack Obama	2014-05-04
Japan	Appeal for diplomatic cooperation (such as policy support)	Barack Obama	2014-02-18
Iraq	Appeal for diplomatic cooperation (such as policy support)	UN Security Council	2014-06-13
Government (Kenya)	Appeal for diplomatic cooperation (such as policy support)	Citizen (Kenya)	2014-01-26
Citizen (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Ministry (Nigeria)	2014-09-23
Citizen (India)	Appeal for diplomatic cooperation (such as policy support)	Member of Parliament (India)	2014-06-15
Government (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Citizen (Nigeria)	2014-09-08
Government (Kenya)	Appeal for diplomatic cooperation (such as policy support)	Citizen (Kenya)	2014-07-28
Government (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Citizen (Nigeria)	2014-10-01
Government (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Citizen (Nigeria)	2014-02-20
Government (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Citizen (Nigeria)	2014-08-04
Head of Government (Afghanistan)	Appeal for diplomatic cooperation (such as policy support)	Afghanistan	2014-11-13
Government (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Citizen (Nigeria)	2014-09-02
Government (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Citizen (Nigeria)	2014-07-09
Government (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Citizen (Nigeria)	2014-08-26
Government (Kenya)	Appeal for diplomatic cooperation (such as policy support)	Citizen (Kenya)	2014-06-04
Ministry (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Citizen (Nigeria)	2014-12-29
Citizen (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Ministry (Nigeria)	2014-08-12
Government (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Citizen (Nigeria)	2014-01-08
Government (Kenya)	Appeal for diplomatic cooperation (such as policy support)	Citizen (Kenya)	2014-07-28
Citizen (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Ministry (Nigeria)	2014-11-05
Government (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Citizen (Nigeria)	2014-01-29
Government (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Citizen (Nigeria)	2014-10-13
Citizen (Kenya)	Appeal for diplomatic cooperation (such as policy support)	Governor (Kenya)	2014-08-18
Citizen (Zambia)	Appeal for diplomatic cooperation (such as policy support)	Michael Sata	2014-03-16
Citizen (Kenya)	Appeal for diplomatic cooperation (such as policy support)	Governor (Kenya)	2014-07-24
Citizen (Kenya)	Appeal for diplomatic cooperation (such as policy support)	Governor (Kenya)	2014-09-09
Citizen (Namibia)	Appeal for diplomatic cooperation (such as policy support)	Police (Namibia)	2014-11-12
Government (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Citizen (Nigeria)	2014-11-28
Government (Kenya)	Appeal for diplomatic cooperation (such as policy support)	Citizen (Kenya)	2014-11-27
Ministry (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Citizen (Nigeria)	2014-08-29
Government (Kenya)	Appeal for diplomatic cooperation (such as policy support)	Citizen (Kenya)	2014-11-02
Government (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Citizen (Nigeria)	2014-04-22
Government (Nigeria)	Appeal for diplomatic cooperation (such as policy support)	Citizen (Nigeria)	2014-04-27
Japan	Meet at a 'third' location	South Korea	2014-12-29
Xi Jinping	Meet at a 'third' location	Barack Obama	2014-12-09
South Korea	Meet at a 'third' location	Japan	2014-12-29
Catherine Ashton	Meet at a 'third' location	Mohammad Javad Zarif	2014-10-15
Xi Jinping	Meet at a 'third' location	Barack Obama	2014-12-01
Abdullah Abdullah	Meet at a 'third' location	Ashraf Ghani Ahmadzai	2014-09-29
Barack Obama	Meet at a 'third' location	North Atlantic Treaty Organization	2014-06-09
John Kerry	Meet at a 'third' location	Benjamin Netanyahu	2014-04-10
John Kerry	Meet at a 'third' location	Iran	2014-05-13
France	Meet at a 'third' location	Morocco	2014-04-29
François Hollande	Meet at a 'third' location	Barack Obama	2014-08-09
Xi Jinping	Meet at a 'third' location	Barack Obama	2014-10-18
Angela Merkel	Meet at a 'third' location	Barack Obama	2014-06-23
John Kerry	Meet at a 'third' location	Iran	2014-02-09
Benjamin Netanyahu	Meet at a 'third' location	John Kerry	2014-07-23
South Korea	Meet at a 'third' location	Japan	2014-11-11
Japan	Meet at a 'third' location	South Korea	2014-11-11
Japan	Meet at a 'third' location	South Korea	2014-03-20
Japan	Meet at a 'third' location	South Korea	2014-07-02
Angela Merkel	Meet at a 'third' location	Barack Obama	2014-07-18
Japan	Meet at a 'third' location	South Korea	2014-08-25
Sergey Viktorovich Lavrov	Meet at a 'third' location	John Kerry	2014-03-05
François Hollande	Meet at a 'third' location	Barack Obama	2014-10-16
Japan	Meet at a 'third' location	South Korea	2014-07-28
François Hollande	Meet at a 'third' location	Barack Obama	2014-07-30
Benjamin Netanyahu	Meet at a 'third' location	John Kerry	2014-03-31
Japan	Meet at a 'third' location	South Korea	2014-02-18
François Hollande	Meet at a 'third' location	Barack Obama	2014-02-11
Japan	Meet at a 'third' location	South Korea	2014-01-21
Abdullah Abdullah	Meet at a 'third' location	Ashraf Ghani Ahmadzai	2014-06-06
South Korea	Meet at a 'third' location	Japan	2014-01-22
South Korea	Meet at a 'third' location	Japan	2014-02-11
Barack Obama	Meet at a 'third' location	North Atlantic Treaty Organization	2014-09-05
Head of Government (Ukraine)	Meet at a 'third' location	North Atlantic Treaty Organization	2014-03-15
South Korea	Meet at a 'third' location	Japan	2014-03-18
South Korea	Meet at a 'third' location	Japan	2014-06-23
South Korea	Meet at a 'third' location	Japan	2014-08-30
Foreign Affairs (Russia)	Meet at a 'third' location	John Kerry	2014-07-27
Catherine Ashton	Meet at a 'third' location	Mohammad Javad Zarif	2014-05-26
Catherine Ashton	Meet at a 'third' location	Mohammad Javad Zarif	2014-04-02
John Kerry	Meet at a 'third' location	Benjamin Netanyahu	2014-07-23
Catherine Ashton	Meet at a 'third' location	Mohammad Javad Zarif	2014-08-26
Cabinet / Council of Ministers / Advisors (United States)	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-09-24
John Kerry	Meet at a 'third' location	Sergey Viktorovich Lavrov	2014-01-13
